"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"poisson","lambda_pequeno",100,1,"A",1,1,"J_u[1,1]",4,4.00000076464586,1.91161465989964e-07,"rel"
"poisson","lambda_pequeno",100,1,"B",1,1,"J_u[1,1]",4,4.00019151918067,4.7879795168182e-05,"rel"
"poisson","lambda_pequeno",100,1,"C_richardson",1,1,"J_u[1,1]",4,4.00000275891488,6.89728720359994e-07,"rel"
"poisson","lambda_pequeno",100,2,"A",1,1,"J_u[1,1]",4,4.00000071862427,1.79656067800238e-07,"rel"
"poisson","lambda_pequeno",100,2,"B",1,1,"J_u[1,1]",4,4.00018216817591,4.55420439775533e-05,"rel"
"poisson","lambda_pequeno",100,2,"C_richardson",1,1,"J_u[1,1]",4,4.00000277425541,6.93563853237933e-07,"rel"
"poisson","lambda_pequeno",100,3,"A",1,1,"J_u[1,1]",10,9.99999961670083,3.83299173734031e-08,"rel"
"poisson","lambda_pequeno",100,3,"B",1,1,"J_u[1,1]",10,9.999243619174,7.56380825999159e-05,"rel"
"poisson","lambda_pequeno",100,3,"C_richardson",1,1,"J_u[1,1]",10,9.9999883445886,1.16554113969158e-06,"rel"
"poisson","lambda_pequeno",1000,1,"A",1,1,"J_u[1,1]",49,48.9999310135975,1.40788576450571e-06,"rel"
"poisson","lambda_pequeno",1000,1,"B",1,1,"J_u[1,1]",49,48.9997881267563,4.32394374998968e-06,"rel"
"poisson","lambda_pequeno",1000,1,"C_richardson",1,1,"J_u[1,1]",49,48.9996886072614,6.35495384801511e-06,"rel"
"poisson","lambda_pequeno",1000,2,"A",1,1,"J_u[1,1]",47,47.0000280691414,5.9721577417683e-07,"rel"
"poisson","lambda_pequeno",1000,2,"B",1,1,"J_u[1,1]",47,47.0116349552526,0.000247552239416181,"rel"
"poisson","lambda_pequeno",1000,2,"C_richardson",1,1,"J_u[1,1]",47,47.0000835617916,1.77791045893115e-06,"rel"
"poisson","lambda_pequeno",1000,3,"A",1,1,"J_u[1,1]",42,41.9999913217176,2.0662577223821e-07,"rel"
"poisson","lambda_pequeno",1000,3,"B",1,1,"J_u[1,1]",42,41.9881220156922,0.000282809150185076,"rel"
"poisson","lambda_pequeno",1000,3,"C_richardson",1,1,"J_u[1,1]",42,41.9999093296508,2.15881783831373e-06,"rel"
"poisson","lambda_pequeno",10000,1,"A",1,1,"J_u[1,1]",514,513.993317898397,1.30001976719067e-05,"rel"
"poisson","lambda_pequeno",10000,1,"B",1,1,"J_u[1,1]",514,514.608390488706,0.0011836390830857,"rel"
"poisson","lambda_pequeno",10000,1,"C_richardson",1,1,"J_u[1,1]",514,514.009806922538,1.90796158329422e-05,"rel"
"poisson","lambda_pequeno",10000,2,"A",1,1,"J_u[1,1]",497,496.996409897979,7.22354531412739e-06,"rel"
"poisson","lambda_pequeno",10000,2,"B",1,1,"J_u[1,1]",497,495.944180082053,0.0021243861528117,"rel"
"poisson","lambda_pequeno",10000,2,"C_richardson",1,1,"J_u[1,1]",497,496.997179850679,5.67434471025408e-06,"rel"
"poisson","lambda_pequeno",10000,3,"A",1,1,"J_u[1,1]",508,508.001157337815,2.27822404586664e-06,"rel"
"poisson","lambda_pequeno",10000,3,"B",1,1,"J_u[1,1]",508,509.121620947232,0.00220791525045642,"rel"
"poisson","lambda_pequeno",10000,3,"C_richardson",1,1,"J_u[1,1]",508,508.026947346176,5.30459570399884e-05,"rel"
"poisson","lambda_grande",100,1,"A",1,1,"J_u[1,1]",79774,79774.0044263641,5.54862995377839e-08,"rel"
"poisson","lambda_grande",100,1,"B",1,1,"J_u[1,1]",79774,79774.001229694,1.54147219122e-08,"rel"
