"dist","scenario","n","scheme","mle_converged","valid","reason","rcond","chol_ok","asym","eig_min","eig_max","step_stability","scale_stability","se_1","se_2","se_3"
"weibull","moderada",100,"A",TRUE,TRUE,NA,0.416399867517885,TRUE,0,141.10345670124,290.304554705356,1.97152020610112e-06,2.03004704401932e-06,0.121085248489941,51.9325708813269,NA
"weibull","moderada",100,"B",TRUE,TRUE,NA,0.416408940251924,TRUE,0,141.105853761235,290.305091850599,5.02280808849126e-06,4.80651931621682e-05,0.12108407376554,51.9325099048878,NA
"weibull","moderada",100,"C_richardson",TRUE,TRUE,NA,0.416400525481071,TRUE,0,141.103594269914,290.304407084544,2.61140018413401e-06,2.5231611305494e-07,0.12108521274069,51.9325616045444,NA
"weibull","moderada",1000,"A",TRUE,TRUE,NA,0.468214941371816,TRUE,0,1356.61344015592,2651.82801192487,1.74965537010071e-06,2.19816398248458e-06,0.0356513148859735,17.8713483527963,NA
"weibull","moderada",1000,"B",TRUE,TRUE,NA,0.468322114976896,TRUE,0,1356.84781010607,2651.92727478785,6.70029004082124e-05,7.74991135084652e-05,0.0356476514877288,17.8710167466274,NA
"weibull","moderada",1000,"C_richardson",TRUE,TRUE,NA,0.468218670862387,TRUE,0,1356.62122005213,2651.83094532757,4.58227343966081e-06,6.12683867547675e-06,0.0356511906656077,17.8713397185686,NA
"weibull","moderada",10000,"A",TRUE,TRUE,NA,0.440738292236985,TRUE,0,13748.2475997277,27325.5817102158,1.83016008410823e-06,2.6624795848858e-06,0.0117594755104133,5.59963865392755,NA
"weibull","moderada",10000,"B",TRUE,TRUE,NA,0.441124412357753,TRUE,0,13757.7256372146,27330.3133714925,0.000564269174323495,0.000985980995707341,0.0117543353915615,5.59944196452111,NA
"weibull","moderada",10000,"C_richardson",TRUE,TRUE,NA,0.440734944120268,TRUE,0,13748.159249539,27325.5107538379,5.9509010963788e-06,4.66719867721426e-06,0.0117595277749893,5.59963998636205,NA
"weibull","shape_bajo",100,"A",TRUE,TRUE,NA,0.177982710600172,TRUE,0,43.7906506836663,194.31316588591,3.77597294059944e-07,6.5113332449872e-07,0.0547323473789047,85.1153801364855,NA
"weibull","shape_bajo",100,"B",TRUE,TRUE,NA,0.177978484695685,TRUE,0,43.7913440742674,194.322830632432,3.90881552785595e-05,0.000295729917194927,0.0547305397502124,85.1149446443745,NA
"weibull","shape_bajo",100,"C_richardson",TRUE,TRUE,NA,0.177982800122262,TRUE,0,43.7906526658617,194.313088408981,7.42968111874019e-07,1.85273219010445e-06,0.0547323547279285,85.1153790264697,NA
"weibull","shape_bajo",1000,"A",TRUE,TRUE,NA,0.190431207793214,TRUE,0,462.625000150502,1916.80177161305,5.48640064425582e-07,8.23438005901153e-07,0.0178812803711933,24.7927258381832,NA
"weibull","shape_bajo",1000,"B",TRUE,TRUE,NA,0.190396154367219,TRUE,0,462.657111684556,1917.36200185889,0.000248364528023058,0.000402411183303116,0.0178781247929229,24.792186926758,NA
"weibull","shape_bajo",1000,"C_richardson",TRUE,TRUE,NA,0.190431191513844,TRUE,0,462.625141293459,1916.80252499825,8.52719486258167e-07,1.09707618478145e-05,0.0178812768512923,24.7927220997317,NA
"weibull","shape_bajo",10000,"A",TRUE,TRUE,NA,0.177887584573338,TRUE,0,4266.01473259761,18987.969991502,1.05215551826982e-06,3.39087939602724e-06,0.00544134741357398,7.62511368618463,NA
"weibull","shape_bajo",10000,"B",TRUE,TRUE,NA,0.177761394072596,TRUE,0,4267.05956519327,19008.3869379706,0.000780183498136361,0.00283254684845984,0.00543798363787633,7.62445350588104,NA
"weibull","shape_bajo",10000,"C_richardson",TRUE,TRUE,NA,0.177886560742607,TRUE,0,4266.03287653588,18988.1912133896,1.28335070757119e-05,3.82262194396766e-05,0.00544130908767633,7.62510091893917,NA
"loglogistic","moderada",100,"A",TRUE,TRUE,NA,0.781799283327411,TRUE,0,142.406916563968,180.98383172616,1.25794158489997e-07,1.48164478428839e-07,0.194849033624422,39.360213155755,NA
"loglogistic","moderada",100,"B",TRUE,TRUE,NA,0.781768997664256,TRUE,0,142.401237471211,180.983990085629,1.34863538017818e-05,4.04560162696344e-05,0.194852922850197,39.3601949898606,NA
"loglogistic","moderada",100,"C_richardson",TRUE,TRUE,NA,0.781799547903021,TRUE,0,142.406987458156,180.983841866416,3.73112808497895e-07,7.21617296886256e-07,0.194848984955273,39.3602120958025,NA
"loglogistic","moderada",1000,"A",TRUE,TRUE,NA,0.723266060088631,TRUE,0,1420.87925944026,1941.41585623466,3.23217372811448e-07,1.02846331381618e-06,0.0638489612171505,13.7834698251387,NA
"loglogistic","moderada",1000,"B",TRUE,TRUE,NA,0.723100492372317,TRUE,0,1420.5561372574,1941.42017201007,0.000157247592117009,0.000536362698433781,0.0638562258352904,13.7834537901087,NA
